D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 20, col 3, Warning - 'Calendar' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 21, col 3, Warning - 'Phone' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 22, col 3, Warning - 'ExternalLink' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 26, col 3, Warning - 'Car' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 27, col 3, Warning - 'Zap' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 28, col 3, Warning - 'XCircle' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 34, col 3, Warning - 'Wifi' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 387, col 9, Warning - 'router' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 426, col 27, Warning - 'setBreadcrumbTrail' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 494, col 47, Warning - 'userId' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 498, col 48, Warning - 'userId' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 502, col 47, Warning - 'update' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\projects\CampoTech\apps\web\app\dashboard\map\page.tsx: line 735, col 6, Warning - React Hook useEffect has a missing dependency: 'mapTileType'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)

13 problems
